fish,SAMPLE,strain,unsegmented_psm_area,intercept,std_error,t-value,p-value,mean,sd,sem,median,IQR,Date_of_imaging,Microscope,reporter_geno
KC44,44,Kaga/Cab_F2,25425,54.1,0.086,625.85,1.42e-59,55.58,0.87,0.16,55.83,1.73,29_11_20,AU,0
KC45,45,Kaga/Cab_F2,27774,59.42,1.91,31.01,3.13e-23,68.79,7.32,1.36,72.71,14.09,29_11_20,AU,-1
KC46,46,Kaga/Cab_F2,24408,54.46,0.134,403.54,2.94e-54,56.25,1.07,0.2,55.98,1.73,29_11_20,AU,-1
KC47,47,Kaga/Cab_F2,27211,53.48,0.143,373.8,2.5e-53,54.46,0.67,0.12,54.17,1.13,29_11_20,AU,-1
KC48,48,Kaga/Cab_F2,27395,54.84,0.07,783.13,2.55e-62,56.59,1.01,0.19,56.28,1.74,29_11_20,AU,-1
KC49,49,Kaga/Cab_F2,28132,56.79,0.142,399.33,3.94e-54,57.64,0.61,0.11,57.79,0.83,29_11_20,AU,-1
KC50,50,Kaga/Cab_F2,26204,53.09,0.104,507.45,481e55,55.18,1.22,0.23,54.92,2.41,29_11_20,AU,0
KC51,51,Kaga/Cab_F2,28370,55.36,0.11,472.08,3.64e-56,55.78,0.39,0.07,55.68,0.23,1_12_20,AU,0
KC52,52,Kaga/Cab_F2,25836,58.59,0.1,553.48,4.24e-58,60.33,1.03,0.19,60.2,1.73,1_12_20,AU,NA
KC53,53,Kaga/Cab_F2,24347,56.09,0.14,398.43,4.2e-54,56.39,0.41,0.08,56.28,0.83,1_12_20,AU,-1
KC54,54,Kaga/Cab_F2,24132,54.56,0.166,330.53,7.85e-52,56.4,1.13,0.21,55.83,1.66,1_12_20,AU,-1
KC55,55,Kaga/Cab_F2,25723,54.88,0.248,221.1,6.11e-47,55.68,0.79,0.15,55.68,0.9,1_12_20,AU,0
KC56,56,Kaga/Cab_F2,25576,53.94,0.084,640.99,6.95e-60,55.39,0.85,0.16,55.23,1.06,2_12_20,DB,NA
KC57,57,Kaga/Cab_F2,19634,66.88,0.194,344.272,2.52e-52,69.51,1.58,0.29,68.94,1.96,2_12_20,DB,0
KC58,58,Kaga/Cab_F2,21337,67.5,0.19,355.33,1.03e-52,66.67,0.69,0.13,66.53,0.83,2_12_20,DB,0
KC59,59,Kaga/Cab_F2,26114,69.85,0.09,755.71,3.33e-62,68.5,0.8,0.15,68.79,1.81,2_12_20,DB,0
