SITE_FILTER,TARGET_PHENO,BIN_LENGTH,MIN_P
all_sites,intercept,10000,3.6167202941860515e-5
all_sites,intercept,15000,3.335497149656803e-5
all_sites,intercept,20000,2.438574707984933e-5
all_sites,intercept,5000,2.9054826297001756e-6
all_sites,mean,10000,6.108474306215296e-6
all_sites,mean,15000,3.665642736168774e-5
all_sites,mean,20000,1.322153401722329e-4
all_sites,mean,5000,1.1165932421669922e-5
no_repeat_reads,intercept,10000,9.406457749840768e-6
no_repeat_reads,intercept,15000,2.7099618433247103e-5
no_repeat_reads,intercept,20000,2.4465237362024503e-4
no_repeat_reads,intercept,5000,1.6944055595283014e-6
no_repeat_reads,mean,10000,2.9728796928333018e-5
no_repeat_reads,mean,15000,1.6274558373787955e-5
no_repeat_reads,mean,20000,2.5387535426656594e-5
no_repeat_reads,mean,5000,1.0460032428682769e-6
no_repeat_sites,intercept,10000,4.7855674718612926e-5
no_repeat_sites,intercept,15000,7.10864437179805e-5
no_repeat_sites,intercept,20000,1.0703772844532893e-4
no_repeat_sites,intercept,5000,2.75588543513386e-6
no_repeat_sites,mean,10000,3.9325982646835457e-5
no_repeat_sites,mean,15000,1.828167529630477e-5
no_repeat_sites,mean,20000,8.843701543319372e-5
no_repeat_sites,mean,5000,2.0781719714806064e-6
