fish,SAMPLE,strain,unsegmented_psm_area,intercept,std_error,t-value,p-value,mean,sd,sem,median,IQR,Date_of_imaging,Microscope,reporter_geno,reporter_pheno
KC43,43,Kaga/Cab_F2,26813,-1.796311314486733,0.57,922,3.45e-31,5553,2.03,0.4,5598,2.87,29_11_20,AU,-1,-1
KC44,44,Kaga/Cab_F2,25425,-2.7959560151527465,86,62585,1.42e-57,5558,0.87,0.16,5583,1.73,29_11_20,AU,0,0
KC45,45,Kaga/Cab_F2,27774,-1.0473141286836045,1.91,3101,3.13e-21,6879,7.32,1.36,7271,14.09,29_11_20,AU,-1,-1
KC46,46,Kaga/Cab_F2,24408,-1.6042110987642866,134,40354,2.94e-52,5625,1.07,0.2,5598,1.73,29_11_20,AU,-1,-1
KC47,47,Kaga/Cab_F2,27211,-1.6530620266107325,143,3738,2.5e-52,5446,0.67,0.12,5417,1.13,29_11_20,AU,-1,0
KC48,48,Kaga/Cab_F2,27395,-1.5589136565729262,0.07,78313,2.55e-60,5659,1.01,0.19,5628,1.74,29_11_20,AU,-1,-1
KC49,49,Kaga/Cab_F2,28132,-1.2986934316698833,142,39933,3.94e-52,5764,0.61,0.11,5779,0.83,29_11_20,AU,-1,-1
KC50,50,Kaga/Cab_F2,26204,-1.7346980161162338,104,50745,50000000000000004e41,5518,1.22,0.23,5492,2.41,29_11_20,AU,0,0
KC51,51,Kaga/Cab_F2,28370,-1.4768516996598464,0.11,47208,3.64e-54,5578,0.39,0.07,5568,0.23,1_12_20,AU,0,0
KC52,52,Kaga/Cab_F2,25836,-1.1542860258855032,0.1,55348,4.24e-56,6033,1.03,0.19,602,1.73,1_12_20,AU,NA,-1
KC53,53,Kaga/Cab_F2,24347,-1.3697554275376504,0.14,39843,4.2e-53,5639,0.41,0.08,5628,0.83,1_12_20,AU,-1,0
KC54,54,Kaga/Cab_F2,24132,-1.581156873633791,166,33053,7.85e-50,564,1.13,0.21,5583,1.66,1_12_20,AU,-1,0
