fish,SAMPLE,strain,unsegmented_psm_area,intercept,std_error,t-value,p-value,mean,sd,sem,median,IQR,Date_of_imaging,Microscope,reporter_geno,reporter_pheno
KC170,170,Kaga/Cab_F2,22480,1.3780885900575977,0.112206136563075,55576364951277,3.77780939650692e-44,64,0.98,0.18,6427,2.04,6_1_21,AU,-1,-1
KC171,171,Kaga/Cab_F2,24609,1.7494863528428224,0.225017775642816,287797952794674,3.78664440907796e-36,66,0.92,0.17,6623,1.5,6_1_21,AU,-1,-1
KC172,172,Kaga/Cab_F2,NA,0.1219035293754096,0.199449288746376,283353793833496,5.85375376903451e-36,6247,3.42,0.64,6322,5.88,6_1_21,AU,0,0
KC173,173,Kaga/Cab_F2,26103,0.8868462047687155,0.103699841134343,57422582122993,1.51314837352289e-44,6291,1.93,0.36,6276,3.16,6_1_21,AU,NA,0
KC174,174,Kaga/Cab_F2,23565,1.254740187537415,0.215884902636849,28646139169445,4.31360948666718e-36,6857,3.86,0.72,6925,7,6_1_21,AU,-1,-1
KC175,175,Kaga/Cab_F2,30001,0.7084681367470418,0.148461407335628,395858904813431,5.04097866448705e-40,6112,1.39,0.26,6095,1.81,6_1_21,AU,0,0
KC176,176,Kaga/Cab_F2,28381,0.41889745961997366,0.32378430225609,177907569204387,2.65494536322521e-30,5792,0.87,0.16,5764,1.2,6_1_21,AU,-1,-1
KC177,177,Kaga/Cab_F2,29312,-1.2430174963532428,0.353595612463174,157031971367396,8.71686604064439e-29,5935,2.36,0.44,5884,2.93,6_1_21,DB,NA,0
KC178,178,Kaga/Cab_F2,24620,1.2986635859414526,0.189420456350385,346732022488345,2.0582460815805201e-38,6825,1.54,0.29,6759,2.64,6_1_21,DB,NA,0
KC179,179,Kaga/Cab_F2,24393,0.6451779384819644,0.184876805648485,342274648548805,2.9566476441876e-39,6828,2.88,0.54,6849,5.58,6_1_21,DB,0,0
KC180,180,Kaga/Cab_F2,22778,0.5502058117431723,0.201903054661764,312492639086125,3.78004950009872e-37,6603,1.75,0.33,6668,3.24,6_1_21,DB,0,0
KC181,181,Kaga/Cab_F2,26392,1.649672679353477,0.161943414514024,411798443160752,1.66937800450508e-40,6764,0.69,0.13,6744,1.2,6_1_21,DB,0,0
KC182,182,Kaga/Cab_F2,26715,1.1515526444648716,0.344413843342943,189725976863532,4.39112957489941e-31,7091,3.29,0.61,7196,5.28,6_1_21,DB,0,0
KC183,183,Kaga/Cab_F2,32151,1.7325914116329872,0.211464281759781,316566600177317,2.63046279647604e-37,6345,2.06,0.38,6367,4.45,6_1_21,DB,0,0
KC184,184,Kaga/Cab_F2,26141,1.6924706361324964,0.558154084446655,115029621143441,5.24325695203638e-25,6851,2.85,0.53,7015,4.37,6_1_21,AU,0,0
KC185,185,Kaga/Cab_F2,23721,0.9980798896367272,0.305382526777457,197687845569165,1.39010641701999e-31,6483,2.65,0.49,6578,4.98,7_1_21,AU,-1,-1
KC186,186,Kaga/Cab_F2,21691,0.9160555214872965,0.280490755478887,213117520222064,1.69721998705534e-32,6302,1.99,0.37,6397,3.23,7_1_21,AU,-1,-1
KC187,187,Kaga/Cab_F2,29457,1.3615163121555942,0.138593303939944,449782722477204,1.41190584697661e-41,6565,1.92,0.36,6608,3.54,7_1_21,AU,-1,-1
KC188,188,Kaga/Cab_F2,23987,0.44023468477847494,0.153701773052493,375979330020066,2.13275744081551e-39,5979,1.21,0.22,6005,2.11,7_1_21,AU,0,0
KC189,189,Kaga/Cab_F2,25746,1.199659343878525,0.0691276310114106,891835606928933,6.7067969270379e-51,6482,1.81,0.34,6472,2.56,7_1_21,AU,NA,0
KC190,190,Kaga/Cab_F2,20314,0.13498196716451247,0.19382259939011,291684074484279,2.60139680931807e-36,6066,2.4,0.45,6005,4.75,7_1_21,AU,0,0
KC191,191,Kaga/Cab_F2,21078,1.019656640094566,0.133179357037605,453794051452998,1.10116200572911e-41,6219,1.06,0.2,6261,1.81,7_1_21,AU,0,0
KC192,192,Kaga/Cab_F2,26329,-0.5559898086162217,0.406211337063529,143559268238076,1.07113029120959e-27,6981,6.61,1.23,712,12.36,7_1_21,DB,0,0
KC193,193,Kaga/Cab_F2,22935,-0.22270851184776858,0.119143987378108,503254108485901,6.08137396677803e-43,6307,1.79,0.33,6261,2.93,7_1_21,DB,0,0
KC194,194,Kaga/Cab_F2,26801,1.4239690017632407,0.337390784273972,195858833724342,1.80301612494534e-31,6832,1.55,0.29,6789,2.87,7_1_21,DB,-1,-1
KC195,195,Kaga/Cab_F2,26899,0.35211439228305924,0.347185207612579,178828200009052,2.29797191573739e-30,6631,2.57,0.48,6563,4.97,7_1_21,DB,-1,-1
KC196,196,Kaga/Cab_F2,21235,1.2323408611117501,0.252717288013164,25955813352504,6.81843102398069e-35,70,2.59,0.48,6955,2.87,7_1_21,DB,0,0
KC197,197,Kaga/Cab_F2,26874,-0.01240936934867985,0.0602696964617068,100630011198721,2.28120112739094e-51,6363,1.7,0.32,6337,2.94,7_1_21,DB,0,0
KC198,198,Kaga/Cab_F2,25051,0.9146106997137167,0.608279011868088,106040456187947,5.09184302530266e-24,7515,6.25,1.16,7572,13.34,7_1_21,DB,-1,-1
KC199,199,Kaga/Cab_F2,25178,-0.07203474465594163,0.0926813582175432,653285660280601,4.08717821231586e-46,6224,0.99,0.18,6231,1.73,7_1_21,DB,-1,0
KC200,200,Kaga/Cab_F2,28889,-0.5018363163719408,0.480010123770972,108244603965723,2.86610977246478e-24,5444,1.89,0.35,5432,3.55,8_1_21,AU,0,-1
KC201,201,Kaga/Cab_F2,28596,-0.6077735931844824,0.263472333042584,239904445290769,6.1768312063351e-35,6612,1.79,0.33,6518,2.26,8_1_21,AU,-1,-1
KC202,202,Kaga/Cab_F2,NA,-0.6234507497524051,0.242470560061116,24331428817283,4.1612555387954e-35,5735,1.13,0.21,5749,0.83,8_1_21,AU,-1,-1
KC203,203,Kaga/Cab_F2,20280,-0.31821294339326345,0.408318708754254,133347323375577,8.43118117993298e-27,5857,2.58,0.48,599,4.29,8_1_21,AU,-1,-1
KC204,204,Kaga/Cab_F2,31606,0.49816182500005934,0.254156317920574,228219128321885,2.49850753114723e-33,5975,1.19,0.22,5914,1.73,8_1_21,AU,0,0
KC205,205,Kaga/Cab_F2,23121,-0.6472588573933993,0.197660592830472,293523818396029,2.18158989208893e-36,5917,0.83,0.15,593,1.43,8_1_21,AU,-1,-1
KC206,206,Kaga/Cab_F2,21155,-0.6960195942406655,0.254933819099057,219671255786382,7.27171392313053e-33,5965,2.18,0.4,5884,3.54,8_1_21,AU,-1,-1
KC207,207,Kaga/Cab_F2,25693,0.785632541397387,0.12623861329077599,467370160219048,4.82431727436932e-42,6124,1.31,0.24,6171,2.03,8_1_21,AU,-1,-1
KC208,208,Kaga/Cab_F2,24226,0.433100464627272,0.134767137169334,428301318415703,5.55668932419753e-41,597,1.18,0.22,593,1.73,8_1_21,AU,0,0
KC209,209,Kaga/Cab_F2,26461,0.47625331615307415,0.112753902151988,513941792015525,3.37663020429417e-43,6215,2.4,0.45,6156,4.07,8_1_21,AU,-1,-1
KC210,210,Kaga/Cab_F2,15986,0.5654051993948377,0.322760331803413,18042774716101,1.7912263920753e-31,6018,1.39,0.26,608,1.43,9_1_21,AU,-1,0
KC211,211,Kaga/Cab_F2,20483,3.012937482549826,0.275145435525626,235614829312872,1.02343343973804e-33,6703,1.45,0.27,6623,1.13,9_1_21,AU,NA,0
KC212,212,Kaga/Cab_F2,21846,0.45457106877563236,0.192975417178452,299943272605516,1.19061736426443e-36,6108,1.88,0.35,6156,2.56,9_1_21,AU,0,0
KC213,213,Kaga/Cab_F2,23146,0.10232419260337103,0.170902519785031,329656230526244,8.46187206787009e-38,6272,3.65,0.68,6246,5.58,9_1_21,AU,-1,0
KC214,214,Kaga/Cab_F2,24100,0.14808353484565392,0.106803568946756,529681382624655,1.4511032077786e-44,5933,1.59,0.3,5914,3.16,9_1_21,AU,0,0
KC215,215,Kaga/Cab_F2,27399,2.485509577586488,0.319040885848238,217152508686889,1.00413463887333e-32,6718,1.46,0.27,6653,2.63,9_1_21,AU,-1,-1
KC216,216,Kaga/Cab_F2,24640,0.6432656417310529,0.170947452418845,342895583451934,2.81037467802507e-38,6092,1.39,0.26,602,1.73,9_1_21,AU,0,0
KC217,217,Kaga/Cab_F2,24994,0.9769580733108104,0.149135279440487,404221599178897,2.80765109407091e-40,6287,1.52,0.28,6337,2.94,9_1_21,AU,NA,0
KC218,218,Kaga/Cab_F2,22974,1.4865713004106365,0.0917830705518064,68552621710243,1.06089544476739e-46,6583,1.67,0.31,6548,2.87,9_1_21,AU,-1,0
KC219,219,Kaga/Cab_F2,20000,0.23397231925147854,0.211217905909092,269724171667358,2.32636968871526e-35,6102,2.36,0.44,6156,4.38,9_1_21,AU,0,0
KC220,220,Kaga/Cab_F2,26666,0.47102376736524115,0.493504934960737,127259135715126,3.11352620951705e-26,65,1.8,0.33,6503,3.77,9_1_21,DB,-1,-1
KC221,221,Kaga/Cab_F2,28194,-0.779570773738484,0.140393369663206,401908491061096,3.29698425937436e-40,613,2.79,0.52,6186,4.45,9_1_21,DB,-1,-1
KC222,222,Kaga/Cab_F2,23828,-1.034312491520594,0.130157774887341,465557344526103,5.37883649772004e-42,6249,1.13,0.21,6231,1.13,9_1_21,DB,0,0
KC223,223,Kaga/Cab_F2,25676,0.7075770953663645,0.145090729214117,438165308578142,2.93748631991564e-41,6515,0.97,0.18,6533,0.76,9_1_21,DB,0,0
KC224,224,Kaga/Cab_F2,23274,0.44895329836199876,0.15564100855165,402924420767807,3.07200954404317e-40,6559,1.68,0.31,6578,3.62,9_1_21,DB,0,0
KC225,225,Kaga/Cab_F2,30325,-0.37864635427032395,0.18343225065385,322437565177531,1.57266513269929e-37,6158,1.46,0.27,6216,2.63,9_1_21,DB,-1,-1
KC226,226,Kaga/Cab_F2,22120,0.3101647913031994,0.382005107594027,162199432056027,3.52422376874447e-29,6223,1.01,0.19,6216,1.43,9_1_21,DB,0,-1
KC227,227,Kaga/Cab_F2,26886,-0.19085186137035168,0.67064810282854,818807884055674,6.93593657130182e-21,5983,3.3,0.61,5854,3.54,10_1_21,AU,NA,-1
KC228,228,Kaga/Cab_F2,23144,-0.538967262746778,0.812879915888983,629322570482582,1.05885655840292e-17,5798,4.42,0.82,5688,3.69,10_1_21,AU,-1,0
KC229,229,Kaga/Cab_F2,22606,0.004864110269583925,0.136151313684,410714607301691,1.79720242776167e-40,5714,0.78,0.14,5703,1.21,10_1_21,AU,-1,-1
KC230,230,Kaga/Cab_F2,27809,0.8397743300717765,0.149662877438024,395529252078724,5.15992999298209e-40,6401,2.76,0.51,6367,5.05,10_1_21,AU,-1,-1
KC231,231,Kaga/Cab_F2,21789,0.3977492817623782,0.131966606204449,436099179867309,3.35307960485706e-41,5973,1.28,0.24,5975,2.64,10_1_21,AU,0,0
KC232,232,Kaga/Cab_F2,21744,1.4809726513681758,0.123994353954524,53387525423663810,1.16360388865785e-43,6908,1.67,0.31,6955,2.56,10_1_21,DB,0,-1
KC233,233,Kaga/Cab_F2,23188,0.14695401505314365,0.220516458347826,278395254903609,9.59494519858404e-36,6354,1.35,0.25,6306,2.64,10_1_21,DB,0,0
KC234,234,Kaga/Cab_F2,26621,0.9767097410316098,0.207196803498898,311807499683377,4.01957980673269e-37,6471,0.55,0.1,6472,0.91,10_1_21,DB,-1,0
KC235,235,Kaga/Cab_F2,28374,1.7789526526119814,0.116101303885806,578743487922473,1.21504980985919e-44,7007,1.66,0.31,703,2.94,10_1_21,DB,-1,-1
KC236,236,Kaga/Cab_F2,28935,1.885177032432044,0.164588529771496,409098353604621,2.00695188126936e-40,6824,0.67,0.12,6804,1.2,10_1_21,DB,0,0
KC237,237,Kaga/Cab_F2,26388,-0.87753149506137,0.0879329743143037,722321842758879,2.4542586268131e-48,6631,1.6,0.3,6638,2.63,10_1_21,DB,0,0
KC238,238,Kaga/Cab_F2,26166,0.5045692868981855,0.165097401346189,381055727297065,1.46516185613545e-39,6661,2.15,0.4,6608,3.84,10_1_21,DB,0,-1
KC239,239,Kaga/Cab_F2,25417,0.9452045530374593,0.216409618799334,298462417194707,1.3675376268897e-37,6728,1.63,0.3,6683,1.66,10_1_21,DB,NA,-1
KC240,240,Kaga/Cab_F2,27468,1.3712500215676082,0.184033273158984,358308144814063,8.20782196989896e-39,6733,0.92,0.17,6683,1.44,10_1_21,DB,-1,-1
KC241,241,Kaga/Cab_F2,25107,-0.1519733934899281,0.513576784615735,117312299480782,3.02782957537604e-25,6616,3.62,0.67,6412,5.8,10_1_21,DB,1,0
KC242,242,Kaga/Cab_F2,23636,1.0417188564537367,0.170472136609657,35506014808485,1.05910102353045e-38,6108,0.55,0.1,6111,0.3,12_1_21,AU,0,0
KC243,243,Kaga/Cab_F2,21616,0.6673825430144201,0.0592723915281727,990654084772332,3.53762686544182e-51,6035,0.94,0.17,6035,1.73,12_1_21,AU,-1,-1
KC244,244,Kaga/Cab_F2,19445,-0.37329854219911734,0.140902534987848,383848277867843,1.19429371689233e-39,5763,2.05,0.38,5764,4.07,12_1_21,AU,-1,-1
KC245,245,Kaga/Cab_F2,26459,0.6836779894693641,0.630458373480238,931905801883001,1.87655340501876e-22,6169,2.35,0.44,6111,1.13,12_1_21,AU,0,0
KC246,246,Kaga/Cab_F2,29771,-0.5616045040581797,0.335818783957045,148393388747117,4.24248725917026e-28,5678,4.04,0.75,5688,5.73,12_1_21,AU,NA,0
KC247,247,Kaga/Cab_F2,28513,0.7252391904982011,0.257823961681631,228196511883107,2.50544672685405e-33,6063,1.23,0.23,599,1.43,12_1_21,AU,-1,-1
KC248,248,Kaga/Cab_F2,25430,-0.35251750343157945,0.357947453504657,151540704269032,2.35892648264344e-28,5743,2.04,0.38,5869,2.79,12_1_21,AU,-1,0
KC249,249,Kaga/Cab_F2,25139,-0.15136281428824616,0.127653526751859,431744445702301,4.44083486653183e-41,5664,0.93,0.17,5628,1.74,12_1_21,AU,-1,0
KC250,250,Kaga/Cab_F2,31378,-0.0016213644067774253,0.343814511841777,162621167273794,3.27732105398486e-29,5967,2.32,0.43,5854,4.07,12_1_21,AU,0,0
KC251,251,Kaga/Cab_F2,26974,-0.06652494744955191,0.0822402391383843,677904576480465,1.45083739863465e-46,5581,0.22,0.04,5568,0.3,13_1_21,AU,0,0
KC252,252,Kaga/Cab_F2,27960,1.0088095571284927,0.877811509245182,688066182126579,8.8387801053373e-20,6563,3.76,0.7,6382,3.69,13_1_21,AU,-1,-1
KC253,253,Kaga/Cab_F2,26317,-0.6313469224167321,0.276346139560486,21282038550479,1.76479401037076e-32,6425,3.17,0.59,6337,4.59,13_1_21,AU,0,0
KC254,254,Kaga/Cab_F2,25275,2.662252346742517,0.161106416404471,347585919225538,1.92129387779181e-38,597,2.14,0.4,5914,4.07,13_1_21,AU,0,0
KC255,255,Kaga/Cab_F2,24054,0.8964975965280099,0.0669587630741525,892123278893529,6.64650741685292e-48,6645,3.82,0.71,6653,6.48,13_1_21,AU,0,0
KC256,256,Kaga/Cab_F2,24659,1.924166118448097,0.422476721649693,157259130348416,8.37146729564336e-29,6835,1.55,0.29,6864,2.56,13_1_21,AU,-1,-1
KC257,257,Kaga/Cab_F2,26474,-0.060026484986151124,0.759842370634597,734141376812202,1.45348186740618e-19,6421,5.19,0.96,6186,7.01,13_1_21,AU,NA,0
KC258,258,Kaga/Cab_F2,24762,0.37677753198979047,0.210283172276504,273383411578417,1.59541884183271e-35,5871,0.89,0.16,5869,1.73,13_1_21,AU,NA,0
KC259,259,Kaga/Cab_F2,26428,-0.008106907281400212,1.03994414231717,537591428925762,8.42095801647403e-16,7031,8.62,1.6,7407,15,20_1_21,AU,-1,0
KC260,260,Kaga/Cab_F2,30675,2.190879089040426,0.43798944501722,156963371565489,2.33556498844855e-22,6548,2.12,0.43,6442,2.71,20_1_21,AU,0,0
KC261,261,Kaga/Cab_F2,27135,-0.2506692228345309,0.126891059526055,430091803169907,4.94418194439463e-41,5955,2.84,0.53,599,5.28,20_1_21,AU,-1,0
KC262,262,Kaga/Cab_F2,24343,0.7168284606960614,0.442838220943652,132747525802204,9.56367960223391e-27,6418,3.28,0.61,6276,4.6,20_1_21,AU,-1,-1
KC263,263,Kaga/Cab_F2,25319,0.8214601439872755,0.403172070170085,146685208837497,5.8645691847002e-29,5991,1.14,0.21,599,2.03,20_1_21,AU,0,0
KC264,264,Kaga/Cab_F2,28829,-0.5464817933552931,0.203981840618868,249067021216927,2.16366522599518e-34,5629,3.16,0.59,5553,5.88,20_1_21,AU,-1,-1
KC265,265,Kaga/Cab_F2,25455,-0.6633363892045102,0.720101927356236,798965118662237,1.37465428421081e-20,6834,6.42,1.19,6608,11.69,20_1_21,AU,0,0
KC266,266,Kaga/Cab_F2,NA,0.3837492647926148,0.370981980148804,155057133167971,1.2419005090922e-29,6304,3.28,0.61,6186,6.18,20_1_21,AU,0,0
KC267,267,Kaga/Cab_F2,24297,-0.2439823340346535,0.188539497397887,289749952125628,3.13388000817724e-36,6348,5.05,0.94,6412,9.05,20_1_21,AU,-1,-1
KC268,268,Kaga/Cab_F2,27543,2.066197531799615,0.697697298281896,966809290427433,6.72316740704235e-23,7591,5.14,0.95,7407,7.61,20_1_21,AU,0,0
KC269,269,Kaga/Cab_F2,29249,0.5427206972345782,0.166379255255326,349484606217973,1.64954443527054e-38,6277,2.66,0.49,6322,4.15,21_1_21,AU,-1,0
KC270,270,Kaga/Cab_F2,23449,-0.31139801925808613,0.135887093600161,400819742641056,3.55711151467018e-40,5793,2,0.37,5824,2.95,21_1_21,AU,0,0
KC271,271,Kaga/Cab_F2,25143,0.09580682414295227,0.188177858900838,299372804337303,1.25578438462715e-36,5837,1.26,0.23,5809,0.9,21_1_21,AU,-1,-1
KC272,272,Kaga/Cab_F2,26074,-0.3318876095330608,0.129261593540981,420828345362225,9.09552821293149e-41,5624,1.1,0.2,5583,1.2,21_1_21,AU,-1,0
KC273,273,Kaga/Cab_F2,24603,-0.4224401850380766,0.0598786028671501,892556471321394,6.55677711381457e-50,5657,1.78,0.33,5673,2.86,21_1_21,AU,0,0
KC274,274,Kaga/Cab_F2,28975,1.548075418051225,0.541719642104165,116804873471261,3.41774673924437e-25,698,3.97,0.74,7136,6.41,21_1_21,AU,-1,-1
KC275,275,Kaga/Cab_F2,24404,-0.17107398836956078,0.182077832787951,302054986042314,9.78329065183655e-37,5879,2.21,0.41,5794,3.53,21_1_21,AU,-1,0
KC276,276,Kaga/Cab_F2,28042,0.2944230311353729,0.230715652694646,247810538414628,2.49266467968128e-34,6187,2.73,0.51,6246,5.5,21_1_21,AU,-1,-1
KC277,277,Kaga/Cab_F2,22062,1.1355501307650648,0.0577443423179975,106365995978177,4.83139462177756e-52,6579,2.49,0.46,6578,4.07,21_1_21,AU,0,0
KC279,279,Kaga/Cab_F2,24059,-0.3872421170223526,0.083985816012598,642359033708206,3.82265634447095e-42,5611,1.24,0.24,5643,2.19,21_1_21,AU,NA,0
KC280,280,Kaga/Cab_F2,29383,-0.7210274498596164,0.202786419878262,274330301819577,1.44825306247957e-35,5632,0.66,0.12,5613,0.3,27_1_21,AU,-1,-1
KC281,281,Kaga/Cab_F2,24994,-0.5240284786616977,0.372524001840651,137754604530623,3.39671621385073e-27,5267,1.24,0.23,5312,2.34,27_1_21,AU,0,0
KC282,282,Kaga/Cab_F2,25934,0.11537226094122718,0.132949935392439,425033210916838,6.8856594249255e-42,5786,0.84,0.16,5764,1.2,27_1_21,AU,0,0
KC283,283,Kaga/Cab_F2,23138,-0.6392826572011308,0.427142235269961,137152731105846,3.83910238519498e-27,5923,1.18,0.22,5945,2.03,27_1_21,AU,-1,-1
KC284,284,Kaga/Cab_F2,25063,-0.09906498238511569,0.0748493105898871,74021059695704,1.23722298484414e-47,5617,0.48,0.09,5613,0.3,27_1_21,AU,-1,-1
KC285,285,Kaga/Cab_F2,25735,0.26743630838964566,0.399936124452711,142749002323173,1.25481539472848e-27,5908,1.54,0.29,596,1.13,27_1_21,AU,-1,-1
KC286,286,Kaga/Cab_F2,27594,0.21402135895021585,0.230506846494092,246379397379375,2.93132090339252e-34,5776,0.82,0.15,5779,1.51,27_1_21,AU,0,0
KC287,287,Kaga/Cab_F2,23550,0.46900149972518274,0.136947514262138,422917958974618,7.91781002736702e-41,6049,1.51,0.28,6005,2.64,27_1_21,AU,-1,0
KC288,288,Kaga/Cab_F2,26453,-0.4012613933654083,0.342110007856785,15726789133498,8.3584334869431e-30,5619,1.63,0.3,5538,2.34,27_1_21,AU,0,0
KC289,289,Kaga/Cab_F2,25582,1.3139158776685325,0.156019125278721,397027216822295,4.6417840829656e-41,6293,0.69,0.13,6261,0.53,27_1_21,AU,0,0
KC290,290,Kaga/Cab_F2,23336,-0.47262430108487996,0.170437262751093,309437081681037,4.97682346555005e-37,5524,1.49,0.28,5538,1.36,28_1_21,AU,-1,-1
KC291,291,Kaga/Cab_F2,22099,0.20739031553380627,0.135550893420056,4188910603142,1.03497128558658e-40,5993,1.82,0.34,5975,3.62,28_1_21,AU,0,0
KC292,292,Kaga/Cab_F2,25982,-0.36635404606521316,0.306476376003533,176765607401975,3.17902993115837e-30,5782,2.22,0.41,5854,2.26,28_1_21,AU,-1,-1
KC293,293,Kaga/Cab_F2,24132,0.5961131919828754,0.249937610652701,233311741910559,1.3472540973301e-34,5957,0.97,0.18,596,1.44,28_1_21,AU,-1,-1
KC294,294,Kaga/Cab_F2,21746,-0.807903417694432,0.134818384191204,427701313481267,5.77910734234986e-41,6079,1.81,0.34,6095,3.24,28_1_21,AU,0,0
KC295,295,Kaga/Cab_F2,23378,-0.014592791172432807,0.132204623308572,422833387643016,7.96226539443658e-41,5942,2.03,0.38,596,3.92,28_1_21,AU,-1,0
KC296,296,Kaga/Cab_F2,24027,0.07627799768371481,0.146889056076081,382728762567229,1.29605213443812e-39,5853,1.37,0.25,5914,2.34,28_1_21,AU,-1,0
KC297,297,Kaga/Cab_F2,27994,-0.11863726256100336,0.309307836591046,178964364659659,2.24955657363332e-30,5673,1.13,0.21,5628,0.6,28_1_21,AU,-1,-1
KC298,298,Kaga/Cab_F2,20934,0.5352214060749987,0.388301617008803,149690485244481,3.32597759181615e-28,6261,2.75,0.51,6397,4.07,28_1_21,AU,0,0
KC299,299,Kaga/Cab_F2,23464,1.9672090048744009,0.214071251495634,310414855275788,4.55616158159887e-37,7041,2.32,0.43,70,2.64,28_1_21,AU,-1,-1
KC300,300,Kaga/Cab_F2,24508,-0.04220329777088214,0.109053445424711,555545170595778,3.81962683407264e-44,6346,1.66,0.31,6382,2.87,28_1_21,DB,0,0
KC301,301,Kaga/Cab_F2,26449,0.007445499308913739,0.482620662608078,125721022573921,4.37393782602995e-26,6447,2.5,0.46,6563,2.26,28_1_21,DB,-1,-1
KC302,302,Kaga/Cab_F2,25729,0.5617924660992515,0.302712579470249,208440657820775,3.1579260440947e-33,654,1.53,0.28,6623,2.56,28_1_21,DB,-1,-1
KC303,303,Kaga/Cab_F2,23554,-0.6885776197166819,0.21322645377338,271021018039963,2.03410515119393e-35,6156,2.21,0.41,6156,3.32,28_1_21,DB,-1,-1
KC304,304,Kaga/Cab_F2,27516,-0.32582804941317084,0.65698659927701,901784694576869,4.69477198895013e-22,6268,2.6,0.48,6171,3.62,28_1_21,DB,-1,-1
KC305,305,Kaga/Cab_F2,24452,-1.1046600258829757,0.27802297977249,215759474281984,1.20228128223195e-32,612,1,0.19,6111,1.21,28_1_21,DB,NA,0
KC306,306,Kaga/Cab_F2,24308,-0.42166805201953034,0.21053536861376,28000591925928,8.16424644922687e-36,6306,2.4,0.45,6246,4.38,28_1_21,DB,-1,-1
KC307,307,Kaga/Cab_F2,27248,-0.06208511642395301,0.100925889825697,600248566490522,4.37490126428483e-43,6453,2.26,0.42,6488,3.77,28_1_21,DB,0,0
KC308,308,Kaga/Cab_F2,23590,0.07701217260938016,0.203564709422696,299535920060303,1.23678233095956e-36,6315,1.34,0.25,6261,2.04,28_1_21,DB,0,0
KC309,309,Kaga/Cab_F2,27349,-0.0322691316640033,0.0675720904877368,896698173426185,5.75964914720307e-50,6331,1.55,0.29,6337,2.26,28_1_21,DB,-1,0
KC310,310,Kaga/Cab_F2,28921,0.5502506358741246,0.059088959761415,98456729829341,4.20393042310493e-51,6075,1.47,0.27,608,2.03,29_1_21,AU,0,0
KC311,311,Kaga/Cab_F2,24408,0.3628884330904868,0.0593139720808198,966449421813806,7.07139067725303e-51,5978,1.4,0.26,5975,2.33,29_1_21,AU,-1,-1
KC312,312,Kaga/Cab_F2,24297,-0.7989475459202162,0.249007932977942,234522648742975,1.16555076300446e-33,659,4.31,0.8,6548,6.63,29_1_21,AU,-1,0
KC313,313,Kaga/Cab_F2,26683,-0.13171028002714316,0.208685222077658,264768016938122,3.90944362523104e-35,5916,2.28,0.42,5975,4.75,29_1_21,AU,0,0
KC314,314,Kaga/Cab_F2,26451,1.0992275544631027,0.0376147172159682,162489223880218,3.40052951062029e-57,6598,2.76,0.51,6608,4.67,29_1_21,AU,0,0
KC315,315,Kaga/Cab_F2,25932,0.6038776822857822,0.0868273060967092,671711724826164,1.87590110135763e-46,6106,1.57,0.29,608,2.26,29_1_21,AU,0,0
KC316,316,Kaga/Cab_F2,24890,1.2406157357514889,0.196618439922199,314480623890817,3.1652200140605e-38,6262,0.68,0.13,6291,0.91,29_1_21,AU,-1,-1
KC317,317,Kaga/Cab_F2,22788,0.8772767234593601,0.148645636248617,400469670471547,3.64519673907135e-40,6206,1.49,0.28,6246,2.95,29_1_21,AU,-1,-1
KC318,318,Kaga/Cab_F2,23138,1.6160652474640531,0.732723456877635,867173535718686,1.39921475042769e-21,6446,1.99,0.37,6367,3.47,29_1_21,AU,-1,-1
KC319,319,Kaga/Cab_F2,26193,-1.017509971547748,0.198157497160084,306453668543082,6.52723896586999e-37,6167,0.75,0.14,6171,1.43,29_1_21,DB,0,0
KC320,320,Kaga/Cab_F2,28356,-0.19227761423901246,0.0513331371961857,117076802013115,3.29149188283145e-53,6249,1.37,0.25,6246,2.04,29_1_21,DB,-1,-1
KC321,321,Kaga/Cab_F2,25030,0.7333149864732456,0.118155370154295,53829590344545,9.23716432325605e-44,6507,0.89,0.16,6503,0.61,29_1_21,DB,0,0
KC322,322,Kaga/Cab_F2,23361,0.8996306666298879,0.212336830205819,303420326480235,8.62300433483763e-37,653,0.74,0.14,6533,1.21,29_1_21,DB,-1,-1
KC323,323,Kaga/Cab_F2,27454,0.16705505145745123,0.676016246914671,909527212134301,3.69825599496815e-22,6341,2.08,0.39,6367,2.34,29_1_21,DB,0,0
KC324,324,Kaga/Cab_F2,23786,-0.4765769975882356,0.188723841098129,310945369997998,4.34350376041339e-37,6117,1.49,0.28,6126,3.01,29_1_21,DB,-1,0
KC325,325,Kaga/Cab_F2,21695,0.32059826646347456,0.211507648729292,293061872507226,2.27992142203936e-36,6459,1.58,0.29,6397,2.94,29_1_21,DB,NA,0
KC326,326,Kaga/Cab_F2,27152,1.0955692454136365,0.497475396787019,130861759531391,1.42671556022353e-26,6686,1.65,0.31,6638,1.06,29_1_21,DB,0,0
KC327,327,Kaga/Cab_F2,26918,-0.5166029206624103,0.223749029858993,230018797359948,2.0054593942372e-34,5668,3.02,0.56,5734,5.88,30_1_21,AU,0,0
KC328,328,Kaga/Cab_F2,25017,-0.7724553864410227,0.335976017210397,15352204174035,1.64035462186563e-28,5582,2.56,0.48,5492,3.99,30_1_21,AU,-1,-1
KC329,329,Kaga/Cab_F2,30250,1.7802665935910278,0.288756350230783,224509129339654,3.95257805662653e-33,6817,2.04,0.38,6759,2.64,30_1_21,AU,-1,-1
