LANE	POOL	fq1	fq2
4102	4	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_4_21s001375-1-1_Seleit_lane4102_1_sequence.txt.gz	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_4_21s001375-1-1_Seleit_lane4102_2_sequence.txt.gz
4103	4	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_4_21s001375-1-1_Seleit_lane4103_1_sequence.txt.gz	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_4_21s001375-1-1_Seleit_lane4103_2_sequence.txt.gz
4104	4	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_4_21s001375-1-1_Seleit_lane4104_1_sequence.txt.gz	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_4_21s001375-1-1_Seleit_lane4104_2_sequence.txt.gz
5105	5	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_5_21s001376-1-1_Seleit_lane5105_1_sequence.txt.gz	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_5_21s001376-1-1_Seleit_lane5105_2_sequence.txt.gz
5106	5	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_5_21s001376-1-1_Seleit_lane5106_1_sequence.txt.gz	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_5_21s001376-1-1_Seleit_lane5106_2_sequence.txt.gz
5107	5	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_5_21s001376-1-1_Seleit_lane5107_1_sequence.txt.gz	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_5_21s001376-1-1_Seleit_lane5107_2_sequence.txt.gz
5108	5	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_5_21s001376-1-1_Seleit_lane5108_1_sequence.txt.gz	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_5_21s001376-1-1_Seleit_lane5108_2_sequence.txt.gz
5109	5	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_5_21s001376-1-1_Seleit_lane5109_1_sequence.txt.gz	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_5_21s001376-1-1_Seleit_lane5109_2_sequence.txt.gz
5110	5	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_5_21s001376-1-1_Seleit_lane5110_1_sequence.txt.gz	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_5_21s001376-1-1_Seleit_lane5110_2_sequence.txt.gz
5111	5	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_5_21s001376-1-1_Seleit_lane5111_1_sequence.txt.gz	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_5_21s001376-1-1_Seleit_lane5111_2_sequence.txt.gz
5112	5	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_5_21s001376-1-1_Seleit_lane5112_1_sequence.txt.gz	/hps/nobackup/birney/projects/indigene/raw_data/Ali/Kaga-Cab_F2_First200WGS/HKNVLBBXY_Pool_5_21s001376-1-1_Seleit_lane5112_2_sequence.txt.gz
