fish,strain,intercept,mean,sd,sem,Date_of_imaging,Microscope,unsegmented_psm_area,reporter_pheno
KC93,Kaga/Cab_F2,54.3,56.95,1.51,0.28,12_12_20,AU,27929,-1
KC94,Kaga/Cab_F2,61.84,63.86,1.18,0.22,12_12_20,AU,23110,-1
KC95,Kaga/Cab_F2,65.02,68.03,3.29,0.61,12_12_20,AU,24117,-1
KC96,Kaga/Cab_F2,57.08,59.65,1.61,0.3,12_12_20,AU,28174,0
KC97,Kaga/Cab_F2,59.76,62.49,1.63,0.3,12_12_20,AU,23661,0
KC98,Kaga/Cab_F2,60.66,62.65,1.14,0.21,13_12_20,AU,26191,0
KC99,Kaga/Cab_F2,63.75,65.18,0.86,0.16,13_12_20,AU,26484,0
KC100,Kaga/Cab_F2,60.63,61.24,0.4,0.07,13_12_20,AU,26729,0
KC101,Kaga/Cab_F2,61.3846,67.56,3.55,0.72,12_12_20,AU,26357,0
KC102,Kaga/Cab_F2,58.39687356,60.88,1.42,0.26,12_12_20,AU,30212,0
KC103,Kaga/Cab_F2,63.49296552,66.7,1.91,0.35,13_12_20,AU,26821,0
KC104,Kaga/Cab_F2,60.66855172,62.06,0.87,0.16,13_12_20,AU,27629,-1
KC105,Kaga/Cab_F2,56.04802299,59.13,1.9,0.35,13_12_20,AU,31511,-1
KC106,Kaga/Cab_F2,59.21041872,61.93,1.7,0.32,13_12_20,AU,26702,-1
KC107,Kaga/Cab_F2,53.2991954,55.67,1.58,0.29,14_12_20,AU,26271,-1
KC108,Kaga/Cab_F2,58.96671264,62.52,2.13,0.4,14_12_20,AU,24354,-1
KC109,Kaga/Cab_F2,57.29165517,58.84,1.07,0.2,14_12_20,AU,27966,0
KC110,Kaga/Cab_F2,57.24450575,57.81,0.5,0.09,14_12_20,AU,31005,0
KC111,Kaga/Cab_F2,57.07912644,58.75,1.02,0.19,14_12_20,AU,26828,0
KC112,Kaga/Cab_F2,60.44006897,62.83,1.41,0.26,14_12_20,AU,25549,0
KC113,Kaga/Cab_F2,64.45505747,62.88,0.93,0.17,14_12_20,AU,22191,-1
KC114,Kaga/Cab_F2,55.83912644,59.21,2.06,0.38,14_12_20,AU,31468,-1
KC115,Kaga/Cab_F2,55.59855172,57.2,0.95,0.18,14_12_20,AU,#N/A,0
KC116,Kaga/Cab_F2,59.82397701,63.56,2.3,0.43,14_12_20,AU,30582,0
KC123,Kaga/Cab_F2,61.84705747,60.51,1.21,0.22,15_12_20,AU,21631,-1
KC124,Kaga/Cab_F2,59.15211494,59.04,0.23,0.04,15_12_20,AU,24401,0
KC125,Kaga/Cab_F2,56.13547126,58.16,1.21,0.23,15_12_20,AU,22012,-1
KC126,Kaga/Cab_F2,62.06675862,65.1,1.86,0.34,15_12_20,AU,22675,0
KC127,Kaga/Cab_F2,57.30696552,56.52,0.71,0.13,15_12_20,AU,22501,-1
KC128,Kaga/Cab_F2,63.25434483,66.55,1.89,0.35,15_12_20,AU,24739,0
KC129,Kaga/Cab_F2,60.58912644,62.11,0.91,0.17,15_12_20,AU,24358,0
KC130,Kaga/Cab_F2,61.74802299,63.6,1.07,0.2,15_12_20,AU,28517,0
KC131,Kaga/Cab_F2,57.2471954,62.41,2.99,0.56,15_12_20,AU,26813,-1
KC132,Kaga/Cab_F2,57.17055172,60.95,2.19,0.41,16_12_20,AU,26254,0
KC133,Kaga/Cab_F2,56.21505747,57.67,0.91,0.17,16_12_20,AU,29277,0
KC134,Kaga/Cab_F2,56.60857471,57.33,0.46,0.09,16_12_20,AU,31744,-1
KC135,Kaga/Cab_F2,58.74864368,61.13,1.5,0.28,16_12_20,AU,24155,-1
KC136,Kaga/Cab_F2,61.82544828,64.56,1.58,0.29,16_12_20,AU,25250,0
KC137,Kaga/Cab_F2,60.07310345,60.4,0.38,0.07,16_12_20,AU,30553,0
KC138,Kaga/Cab_F2,58.88583908,61.76,1.74,0.32,16_12_20,AU,29312,0
KC139,Kaga/Cab_F2,62.7057931,63.88,1.02,0.19,16_12_20,AU,28510,-1
KC140,Kaga/Cab_F2,49.03625287,56.19,4.23,0.79,16_12_20,AU,28477,-1
KC141,Kaga/Cab_F2,55.8074023,59.05,1.85,0.34,16_12_20,AU,24349,0
KC152,Kaga/Cab_F2,59.08013793,59.46,0.45,0.08,5_1_21,AU,25810,0
KC153,Kaga/Cab_F2,54.51358621,61.58,4.14,0.77,5_1_21,AU,27206,0
KC154,Kaga/Cab_F2,56.05967816,56.85,0.59,0.11,5_1_21,AU,26126,0
KC155,Kaga/Cab_F2,57.5796092,56.95,0.58,0.11,5_1_21,AU,25587,0
KC156,Kaga/Cab_F2,56.67887356,58.22,1.13,0.21,5_1_21,AU,27793,0
KC157,Kaga/Cab_F2,56.93344828,60.29,1.92,0.36,5_1_21,AU,25748,-1
KC158,Kaga/Cab_F2,63.59806897,65.19,1.17,0.22,5_1_21,AU,25511,0
KC159,Kaga/Cab_F2,55.82797701,57.66,1.46,0.27,5_1_21,AU,23238,0
KC160,Kaga/Cab_F2,57.08278161,59.19,1.58,0.29,5_1_21,AU,25113,-1
KC161,Kaga/Cab_F2,57.96241379,58.01,0.39,0.07,5_1_21,AU,25875,0
KC168,Kaga/Cab_F2,59.97211494,62.05,1.25,0.23,6_1_21,AU,28249,-1
KC169,Kaga/Cab_F2,63.88972414,67.55,2.1,0.39,6_1_21,AU,27510,0
KC170,Kaga/Cab_F2,62.36009195,64,0.98,0.18,6_1_21,AU,22480,-1
KC171,Kaga/Cab_F2,64.75965517,66,0.92,0.17,6_1_21,AU,24609,-1
KC172,Kaga/Cab_F2,56.51471264,62.47,3.42,0.64,6_1_21,AU,#N/A,0
KC173,Kaga/Cab_F2,59.54712644,62.91,1.93,0.36,6_1_21,AU,26103,0
KC174,Kaga/Cab_F2,61.84268966,68.57,3.86,0.72,6_1_21,AU,23565,-1
KC175,Kaga/Cab_F2,58.76977011,61.12,1.39,0.26,6_1_21,AU,30001,0
KC176,Kaga/Cab_F2,57.60367816,57.92,0.87,0.16,6_1_21,AU,28381,-1
KC184,Kaga/Cab_F2,64.20425287,68.51,2.85,0.53,6_1_21,AU,26141,0
KC185,Kaga/Cab_F2,60.37041379,64.83,2.65,0.49,7_1_21,AU,23721,-1
KC186,Kaga/Cab_F2,59.77749425,63.02,1.99,0.37,7_1_21,AU,21691,-1
KC187,Kaga/Cab_F2,62.33687356,65.65,1.92,0.36,7_1_21,AU,29457,-1
KC188,Kaga/Cab_F2,57.78868966,59.79,1.21,0.22,7_1_21,AU,23987,0
KC189,Kaga/Cab_F2,61.65048276,64.82,1.81,0.34,7_1_21,AU,25746,0
KC190,Kaga/Cab_F2,56.53496552,60.66,2.4,0.45,7_1_21,AU,20314,0
KC191,Kaga/Cab_F2,60.436,62.19,1.06,0.2,7_1_21,AU,21078,0
KC200,Kaga/Cab_F2,51.95850575,54.44,1.89,0.35,8_1_21,AU,28889,-1
KC201,Kaga/Cab_F2,63.20818391,66.12,1.79,0.33,8_1_21,AU,28596,-1
KC202,Kaga/Cab_F2,58.99655172,57.35,1.13,0.21,8_1_21,AU,#N/A,-1
KC203,Kaga/Cab_F2,54.4482069,58.57,2.58,0.48,8_1_21,AU,20280,-1
KC204,Kaga/Cab_F2,58.00333333,59.75,1.19,0.22,8_1_21,AU,31606,0
KC205,Kaga/Cab_F2,58.01809195,59.17,0.83,0.15,8_1_21,AU,23121,-1
KC206,Kaga/Cab_F2,56.00163218,59.65,2.18,0.4,8_1_21,AU,21155,-1
KC207,Kaga/Cab_F2,59.00016092,61.24,1.31,0.24,8_1_21,AU,25693,-1
KC208,Kaga/Cab_F2,57.72094253,59.7,1.18,0.22,8_1_21,AU,24226,0
KC209,Kaga/Cab_F2,57.94894253,62.15,2.4,0.45,8_1_21,AU,26461,-1
