fish,strain,intercept,mean,sd,sem,Date_of_imaging,Microscope,unsegmented_psm_area,reporter_pheno
KC413,Kaga/Cab_F2,68.46678161,64.33,2.44,0.45,16_2_21,AU,28356,-1
KC414,Kaga/Cab_F2,57.25995402,61.08,2.19,0.41,16_2_21,AU,28205,0
KC415,Kaga/Cab_F2,59.09257471,62.29,1.86,0.35,16_2_21,AU,27223,0
KC416,Kaga/Cab_F2,58.75425287,61.16,1.38,0.26,16_2_21,AU,29379,0
KC417,Kaga/Cab_F2,55.51912644,56.32,0.61,0.11,16_2_21,AU,26480,-1
KC418,Kaga/Cab_F2,52.99554023,56.74,2.32,0.43,16_2_21,AU,25055,-1
KC419,Kaga/Cab_F2,54.02004598,55.55,0.97,0.18,16_2_21,AU,27039,0
KC437,Kaga/Cab_F2,57.53365517,60.14,2.06,0.38,18_2_21,AU,24686,-1
KC438,Kaga/Cab_F2,54.52875862,55.59,0.64,0.12,18_2_21,AU,28318,0
KC439,Kaga/Cab_F2,59.8991954,59.82,0.96,0.18,18_2_21,AU,29000,0
KC440,Kaga/Cab_F2,54.50595402,56,1.65,0.31,18_2_21,AU,26451,0
KC441,Kaga/Cab_F2,58.94022989,60.14,0.95,0.18,18_2_21,AU,23935,0
KC442,Kaga/Cab_F2,54.73866667,57.98,1.89,0.35,18_2_21,AU,25321,-1
KC443,Kaga/Cab_F2,56.53068966,58.81,1.36,0.25,18_2_21,AU,21695,-1
KC444,Kaga/Cab_F2,61.91043678,63.64,1.1,0.2,18_2_21,AU,26225,0
KC445,Kaga/Cab_F2,53.15374713,55.48,1.67,0.31,18_2_21,AU,19544,0
KC446,Kaga/Cab_F2,59.08,60.07,0.64,0.12,23_3_21,AU,26223,0
KC447,Kaga/Cab_F2,56.05098851,57.59,0.9,0.17,23_3_21,AU,23288,0
KC448,Kaga/Cab_F2,55.58209195,55.95,0.41,0.08,23_3_21,AU,20337,0
KC449,Kaga/Cab_F2,55.14287356,54.36,0.6,0.11,23_3_21,AU,#N/A,0
KC450,Kaga/Cab_F2,58.25878161,61.73,1.99,0.37,23_3_21,AU,20969,0
KC451,Kaga/Cab_F2,58.08972414,58.85,0.72,0.13,23_3_21,AU,26332,0
KC452,Kaga/Cab_F2,55.07494253,57.55,1.57,0.29,23_3_21,AU,23987,0
KC453,Kaga/Cab_F2,55.35586207,57.82,1.42,0.26,23_3_21,AU,22242,0
KC454,Kaga/Cab_F2,55.89850575,57.4,0.96,0.18,23_3_21,AU,27079,0
KC455,Kaga/Cab_F2,61.916,59.89,1.48,0.27,23_3_21,AU,27535,0
KC488,Kaga/Cab_F2,57.8234023,59.93,1.3,0.24,7_4_21,AU,22453,0
KC489,Kaga/Cab_F2,53.14671264,55.13,1.28,0.24,7_4_21,AU,22198,-1
KC490,Kaga/Cab_F2,52.93924138,54.99,1.27,0.24,7_4_21,AU,22480,0
KC491,Kaga/Cab_F2,58.37742529,59.36,0.72,0.13,7_4_21,AU,#N/A,0
KC492,Kaga/Cab_F2,52.58386207,55.1,1.51,0.28,7_4_21,AU,19686,0
KC493,Kaga/Cab_F2,54.95786207,56.3,0.86,0.16,7_4_21,AU,24379,0
KC494,Kaga/Cab_F2,51.7948046,54.82,1.75,0.32,7_4_21,AU,24458,0
KC495,Kaga/Cab_F2,53.76777011,60.51,3.92,0.73,7_4_21,AU,#N/A,0
KC505,Kaga/Cab_F2,63.09429885,63.14,0.28,0.05,14_4_21,AU,25101,0
KC506,Kaga/Cab_F2,53.82388506,56.94,1.88,0.35,14_4_21,AU,24797,-1
KC507,Kaga/Cab_F2,54.83196581,56.92,1.19,0.23,14_4_21,AU,23253,0
KC508,Kaga/Cab_F2,54.47691954,55.45,0.69,0.13,14_4_21,AU,20910,0
KC509,Kaga/Cab_F2,57.23811494,55.4,1.28,0.24,14_4_21,AU,17942,-1
KC510,Kaga/Cab_F2,56.976,58.24,0.81,0.15,14_4_21,AU,17871,0
KC511,Kaga/Cab_F2,59.76765517,61.38,1.14,0.21,14_4_21,AU,16412,-1
KC512,Kaga/Cab_F2,57.25664368,61.08,2.22,0.41,14_4_21,AU,23230,0
KC513,Kaga/Cab_F2,52.70678161,56.94,3.42,0.64,14_4_21,AU,25201,-1
KC514,Kaga/Cab_F2,55.30521839,57.16,1.09,0.2,14_4_21,AU,25203,0
KC532,Kaga/Cab_F2,61.46416092,69.49,4.6,0.85,19_4_21,AU,24400,0
KC533,Kaga/Cab_F2,58.76795402,62.47,2.15,0.4,19_4_21,AU,20532,-1
KC534,Kaga/Cab_F2,60.07505747,62.83,1.61,0.3,19_4_21,AU,19481,0
KC535,Kaga/Cab_F2,50.75429885,57.7,4.25,0.79,19_4_21,AU,17457,-1
KC536,Kaga/Cab_F2,57.56574713,59.89,1.38,0.26,19_4_21,AU,16029,0
KC537,Kaga/Cab_F2,66.63064368,71.85,2.99,0.56,19_4_21,AU,21967,0
KC538,Kaga/Cab_F2,63.41832184,64.55,0.68,0.13,19_4_21,AU,23246,-1
KC539,Kaga/Cab_F2,55.39997701,57.28,1.13,0.21,20_4_21,AU,22327,-1
KC540,Kaga/Cab_F2,54.5711954,59.89,3.15,0.58,20_4_21,AU,#N/A,0
KC541,Kaga/Cab_F2,54.89705747,56.01,1,0.19,20_4_21,AU,20272,0
KC542,Kaga/Cab_F2,58.00386207,60.47,1.75,0.32,20_4_21,AU,21503,0
KC543,Kaga/Cab_F2,60.8283908,62.28,0.88,0.16,20_4_21,AU,19898,0
KC544,Kaga/Cab_F2,56.75935632,58.23,0.86,0.16,20_4_21,AU,21869,-1
KC545,Kaga/Cab_F2,54.81105747,56.02,0.96,0.18,20_4_21,AU,18924,0
KC546,Kaga/Cab_F2,57.66763218,58.97,0.77,0.14,20_4_21,AU,25758,0
KC547,Kaga/Cab_F2,56.61427586,58.56,1.23,0.23,14_7_21,AU,22780,-1
KC548,Kaga/Cab_F2,57.32291954,59.34,1.33,0.25,14_7_21,AU,23204,-1
KC549,Kaga/Cab_F2,57.87781609,58.85,0.56,0.1,14_7_21,AU,21963,0
KC550,Kaga/Cab_F2,52.99652874,55.97,1.84,0.34,14_7_21,AU,20640,-1
KC551,Kaga/Cab_F2,55.1142069,55.16,1.01,0.19,14_7_21,AU,21472,-1
KC552,Kaga/Cab_F2,52.822,55.69,1.67,0.31,14_7_21,AU,22365,-1
KC553,Kaga/Cab_F2,56.89266667,59.45,1.46,0.27,14_7_21,AU,28077,-1
KC554,Kaga/Cab_F2,56.21114943,57,1.77,0.33,14_7_21,AU,24877,-1
KC555,Kaga/Cab_F2,55.97947126,57.03,0.62,0.12,14_7_21,AU,22763,-1
KC556,Kaga/Cab_F2,58.89025287,62.61,2.49,0.46,15_7_21,AU,23698,-1
KC557,Kaga/Cab_F2,55.80995402,59.51,2.1,0.39,15_7_21,AU,21168,-1
KC558,Kaga/Cab_F2,56.66868966,59.84,1.84,0.34,15_7_21,AU,22849,-1
KC559,Kaga/Cab_F2,57.12951724,61.72,2.7,0.5,15_7_21,AU,23146,0
KC560,Kaga/Cab_F2,54.53556322,57.61,1.75,0.33,15_7_21,AU,24475,0
KC561,Kaga/Cab_F2,58.87586207,61.19,1.32,0.25,15_7_21,AU,24117,0
KC562,Kaga/Cab_F2,54.36489655,55.66,1.63,0.3,15_7_21,AU,21243,-1
KC563,Kaga/Cab_F2,66.19593103,63.26,2.14,0.4,15_7_21,AU,21421,-1
KC564,Kaga/Cab_F2,48.12041379,53.94,3.57,0.66,15_7_21,AU,23309,-1
KC565,Kaga/Cab_F2,57.91045977,61.59,2.09,0.39,15_7_21,AU,26767,0
KC576,Kaga/Cab_F2,55.82422989,61.72,3.84,0.71,16_7_21,AU,22587,0
KC577,Kaga/Cab_F2,54.75722222,63.79,5.67,1.09,16_7_21,AU,22514,-1
KC578,Kaga/Cab_F2,53.753,54.17,1.65,0.34,16_7_21,AU,24054,-1
KC579,Kaga/Cab_F2,56.10422989,58.8,1.62,0.3,16_7_21,AU,21526,0
KC580,Kaga/Cab_F2,59.47213793,64.26,2.78,0.52,16_7_21,AU,21534,0
KC581,Kaga/Cab_F2,56.21691954,58.96,1.58,0.29,16_7_21,AU,19835,-1
KC582,Kaga/Cab_F2,62.67797701,63.59,1.15,0.21,16_7_21,AU,21764,-1
KC592,Kaga/Cab_F2,61.42121839,65.97,2.74,0.51,21_7_21,AU,26489,0
KC593,Kaga/Cab_F2,66.03850575,70.45,2.51,0.47,21_7_21,AU,24741,-1
KC594,Kaga/Cab_F2,65.56452874,69.51,2.24,0.42,21_7_21,AU,23046,-1
KC595,Kaga/Cab_F2,68.98278161,70.09,0.67,0.12,21_7_21,AU,17610,0
KC596,Kaga/Cab_F2,68.71009195,71.26,1.46,0.27,21_7_21,AU,23014,0
KC597,Kaga/Cab_F2,63.67981609,65.97,1.33,0.25,21_7_21,AU,23502,0
KC598,Kaga/Cab_F2,62.71645977,67.29,2.65,0.49,21_7_21,AU,22893,0
KC599,Kaga/Cab_F2,69.25351724,71.68,1.4,0.26,21_7_21,AU,25084,0
KC600,Kaga/Cab_F2,61.22193103,66.05,2.88,0.53,21_7_21,AU,20368,-1
KC630,Kaga/Cab_F2,55.10406897,57.2,1.24,0.23,28_8_21,AU,21698,-1
KC631,Kaga/Cab_F2,58.01257471,61.12,1.97,0.36,28_8_21,AU,24672,-1
KC632,Kaga/Cab_F2,62.62857471,61.41,0.81,0.15,28_8_21,AU,22725,-1
KC633,Kaga/Cab_F2,58.29896552,58.68,1.34,0.25,28_8_21,AU,22750,-1
KC634,Kaga/Cab_F2,58.62797701,61.65,1.72,0.32,28_8_21,AU,22384,0
KC635,Kaga/Cab_F2,56.28685057,56.62,0.72,0.13,28_8_21,AU,21285,0
KC636,Kaga/Cab_F2,56.23089655,58.13,1.19,0.22,28_8_21,AU,24624,0
KC637,Kaga/Cab_F2,58.30082759,59.65,0.8,0.15,28_8_21,AU,23085,-1
KC638,Kaga/Cab_F2,58.00296552,61.79,2.33,0.43,28_8_21,AU,22259,0
KC639,Kaga/Cab_F2,58.17866667,59.98,1.08,0.2,28_8_21,AU,24485,-1
KC12,Kaga/Cab_F2,61.56,62.16,0.44,0.08,25_11_20,DB,23533,0
KC13,Kaga/Cab_F2,57.63,61.53,2.14,0.4,25_11_20,DB,23908,-1
KC14,Kaga/Cab_F2,52.83,55.09,3.21,0.54,25_11_20,DB,28753,0
KC15,Kaga/Cab_F2,57.97,61.43,1.71,0.36,25_11_20,DB,25419,-1
KC16,Kaga/Cab_F2,56.48,58.74,1.06,0.2,25_11_20,DB,22401,0
KC17,Kaga/Cab_F2,56.43,57.49,0.92,0.17,25_11_20,DB,25777,0
KC18,Kaga/Cab_F2,59.77,63.1,1.62,0.3,25_11_20,DB,26275,-1
KC19,Kaga/Cab_F2,54.28,56.57,1.11,0.21,25_11_20,DB,25319,-1
KC20,Kaga/Cab_F2,56.09,58.58,1.29,0.24,25_11_20,DB,25415,0
KC21,Kaga/Cab_F2,55.68,56.94,0.66,0.12,27_11_20,DB,24936,0
KC22,Kaga/Cab_F2,58.99,61.07,1.62,0.35,27_11_20,DB,20481,-1
KC24,Kaga/Cab_F2,57.99,61.7,1.84,0.34,27_11_20,DB,24287,0
KC25,Kaga/Cab_F2,55.88,61.54,3.32,0.62,27_11_20,DB,27251,0
KC26,Kaga/Cab_F2,54.56,58.52,2.12,0.39,27_11_20,DB,24241,0
KC27,Kaga/Cab_F2,56.65,61.8,2.64,0.49,27_11_20,DB,22876,0
KC28,Kaga/Cab_F2,55.76,58.87,1.5,0.28,27_11_20,DB,23902,0
KC29,Kaga/Cab_F2,57.87,60.23,1.16,0.21,27_11_20,DB,21155,0
KC30,Kaga/Cab_F2,59.8,64.65,2.49,0.46,27_11_20,DB,21114,-1
KC56,Kaga/Cab_F2,49.92,51.87,0.85,0.16,2_12_20,DB,25576,-1
KC57,Kaga/Cab_F2,62.86,65.99,1.58,0.29,2_12_20,DB,19634,0
KC58,Kaga/Cab_F2,63.48,63.15,0.69,0.13,2_12_20,DB,21337,-1
KC59,Kaga/Cab_F2,65.83,64.98,0.8,0.15,2_12_20,DB,26114,-1
KC60,Kaga/Cab_F2,65.71,66.9,0.58,0.11,2_12_20,DB,26134,-1
KC61,Kaga/Cab_F2,61.31,66.01,2.44,0.45,2_12_20,DB,20793,-1
KC117,Kaga/Cab_F2,59.56436782,61.01,0.8,0.15,14_12_20,DB,27529,0
KC118,Kaga/Cab_F2,58.14121839,60.93,1.54,0.29,14_12_20,DB,29429,0
KC119,Kaga/Cab_F2,56.4071954,58.92,1.18,0.22,14_12_20,DB,26938,0
KC120,Kaga/Cab_F2,61.02967816,62.16,1.2,0.22,14_12_20,DB,24498,-1
KC122,Kaga/Cab_F2,58.65337931,61.57,1.41,0.26,14_12_20,DB,25823,-1
KC142,Kaga/Cab_F2,65.77753968,63.22,1.81,0.35,16_12_20,DB,25949,-1
KC143,Kaga/Cab_F2,57.54795402,60.2,1.54,0.29,16_12_20,DB,26625,0
KC144,Kaga/Cab_F2,54.56096552,57.32,1.33,0.25,16_12_20,DB,28741,0
KC145,Kaga/Cab_F2,60.36213793,63.31,1.65,0.31,16_12_20,DB,26214,-1
KC146,Kaga/Cab_F2,59.82551724,60.19,0.36,0.07,16_12_20,DB,25584,0
KC147,Kaga/Cab_F2,57.77275862,58.43,0.36,0.07,16_12_20,DB,26424,0
KC148,Kaga/Cab_F2,57.14813793,59.8,1.45,0.27,16_12_20,DB,30298,-1
KC149,Kaga/Cab_F2,55.92533333,59.89,1.97,0.37,16_12_20,DB,23366,0
KC150,Kaga/Cab_F2,58.05085057,60.64,1.29,0.24,16_12_20,DB,28883,0
KC151,Kaga/Cab_F2,59.13774713,65.89,3.65,0.68,16_12_20,DB,26434,0
KC162,Kaga/Cab_F2,58.17990805,60.26,1.07,0.2,5_1_21,DB,23897,0
KC163,Kaga/Cab_F2,54.29733333,58.56,2.19,0.41,5_1_21,DB,21074,-1
KC164,Kaga/Cab_F2,58.18108046,59.24,0.47,0.09,5_1_21,DB,25974,0
KC165,Kaga/Cab_F2,54.69611494,55.43,0.36,0.07,5_1_21,DB,27043,0
KC166,Kaga/Cab_F2,54.61549425,58.95,2.5,0.46,5_1_21,DB,24552,0
KC167,Kaga/Cab_F2,54.63924138,58.3,1.96,0.36,5_1_21,DB,23525,-1
KC177,Kaga/Cab_F2,51.50581609,55.83,2.36,0.44,6_1_21,DB,29312,0
KC178,Kaga/Cab_F2,61.65813793,64.73,1.54,0.29,6_1_21,DB,24620,0
KC179,Kaga/Cab_F2,59.25864368,64.76,2.88,0.54,6_1_21,DB,24393,0
KC180,Kaga/Cab_F2,59.07321839,62.51,1.75,0.33,6_1_21,DB,22778,0
KC181,Kaga/Cab_F2,62.66804598,64.12,0.69,0.13,6_1_21,DB,26392,0
KC182,Kaga/Cab_F2,61.32425287,67.39,3.29,0.61,6_1_21,DB,26715,0
KC183,Kaga/Cab_F2,62.92252874,59.93,2.06,0.38,6_1_21,DB,32151,0
KC192,Kaga/Cab_F2,54.2954023,66.29,6.61,1.23,7_1_21,DB,26329,0
KC193,Kaga/Cab_F2,55.93970115,59.55,1.79,0.33,7_1_21,DB,22935,0
KC194,Kaga/Cab_F2,62.06096552,64.8,1.55,0.29,7_1_21,DB,26801,-1
KC195,Kaga/Cab_F2,58.06650575,62.79,2.57,0.48,7_1_21,DB,26899,-1
KC196,Kaga/Cab_F2,61.57482759,66.48,2.59,0.48,7_1_21,DB,21235,0
KC197,Kaga/Cab_F2,56.6294023,60.11,1.7,0.32,7_1_21,DB,26874,0
KC198,Kaga/Cab_F2,60.48218391,71.63,6.25,1.16,7_1_21,DB,25051,-1
KC199,Kaga/Cab_F2,56.5274023,58.72,0.99,0.18,7_1_21,DB,25178,0
KC220,Kaga/Cab_F2,58.78301149,61.48,1.8,0.33,9_1_21,DB,26666,-1
KC221,Kaga/Cab_F2,52.40528736,57.78,2.79,0.52,9_1_21,DB,28194,-1
KC222,Kaga/Cab_F2,56.57590805,58.97,1.13,0.21,9_1_21,DB,23828,0
KC223,Kaga/Cab_F2,59.55372414,61.63,0.97,0.18,9_1_21,DB,25676,0
KC224,Kaga/Cab_F2,58.69156322,62.07,1.68,0.31,9_1_21,DB,23274,0
KC225,Kaga/Cab_F2,55.12544828,58.06,1.46,0.27,9_1_21,DB,30325,-1
KC226,Kaga/Cab_F2,57.94101149,58.71,1.01,0.19,9_1_21,DB,22120,-1
KC232,Kaga/Cab_F2,62.17751724,65.56,1.67,0.31,10_1_21,DB,21744,-1
KC233,Kaga/Cab_F2,57.37073563,60.02,1.35,0.25,10_1_21,DB,23188,0
KC234,Kaga/Cab_F2,60.58551724,61.19,0.55,0.1,10_1_21,DB,26621,0
KC235,Kaga/Cab_F2,63.17287356,66.55,1.66,0.31,10_1_21,DB,28374,-1
KC236,Kaga/Cab_F2,63.31289655,64.72,0.67,0.12,10_1_21,DB,28935,0
KC237,Kaga/Cab_F2,59.49590805,62.79,1.6,0.3,10_1_21,DB,26388,0
KC238,Kaga/Cab_F2,58.89131034,63.09,2.15,0.4,10_1_21,DB,26166,-1
KC239,Kaga/Cab_F2,60.57013793,63.76,1.63,0.3,10_1_21,DB,25417,-1
KC240,Kaga/Cab_F2,61.92062069,63.81,0.92,0.17,10_1_21,DB,27468,-1
KC241,Kaga/Cab_F2,56.22887356,62.64,3.62,0.67,10_1_21,DB,25107,0
KC300,Kaga/Cab_F2,56.56411494,59.94,1.66,0.31,28_1_21,DB,24508,0
KC301,Kaga/Cab_F2,56.65556322,60.95,2.5,0.46,28_1_21,DB,26449,-1
KC302,Kaga/Cab_F2,59.0776092,61.88,1.53,0.28,28_1_21,DB,25729,-1
KC303,Kaga/Cab_F2,53.76885057,58.04,2.21,0.41,28_1_21,DB,23554,-1
KC304,Kaga/Cab_F2,55.22604598,59.16,2.6,0.48,28_1_21,DB,27516,-1
KC305,Kaga/Cab_F2,55.96609195,57.68,1,0.19,28_1_21,DB,24452,0
KC306,Kaga/Cab_F2,54.93114943,59.54,2.4,0.45,28_1_21,DB,24308,-1
KC307,Kaga/Cab_F2,56.56062069,61.01,2.26,0.42,28_1_21,DB,27248,0
KC308,Kaga/Cab_F2,56.95494253,59.63,1.34,0.25,28_1_21,DB,23590,0
KC309,Kaga/Cab_F2,56.57177011,59.79,1.55,0.29,28_1_21,DB,27349,0
KC319,Kaga/Cab_F2,56.70609195,58.15,0.75,0.14,29_1_21,DB,26193,0
KC320,Kaga/Cab_F2,56.0791954,58.97,1.37,0.25,29_1_21,DB,28356,-1
KC321,Kaga/Cab_F2,59.58255172,61.55,0.89,0.16,29_1_21,DB,25030,0
KC322,Kaga/Cab_F2,60.40731034,61.78,0.74,0.14,29_1_21,DB,23361,-1
KC323,Kaga/Cab_F2,57.46551724,59.89,2.08,0.39,29_1_21,DB,27454,0
KC324,Kaga/Cab_F2,54.6628046,57.65,1.49,0.28,29_1_21,DB,23786,0
KC325,Kaga/Cab_F2,57.96482759,61.07,1.58,0.29,29_1_21,DB,21695,0
KC326,Kaga/Cab_F2,61.08050575,63.34,1.65,0.31,29_1_21,DB,27152,0
KC337,Kaga/Cab_F2,55.43163218,57.4,1.02,0.19,30_1_21,DB,28667,0
KC338,Kaga/Cab_F2,57.75395402,61.29,1.84,0.34,30_1_21,DB,30459,0
KC339,Kaga/Cab_F2,52.56652874,57.86,3.15,0.59,30_1_21,DB,28910,0
KC340,Kaga/Cab_F2,62.05957265,61.82,1.6,0.31,30_1_21,DB,23678,0
KC341,Kaga/Cab_F2,52.2014023,55.06,2.03,0.38,30_1_21,DB,24249,0
KC342,Kaga/Cab_F2,58.05756322,62.55,2.3,0.43,30_1_21,DB,24285,-1
KC343,Kaga/Cab_F2,57.85756322,62.3,2.31,0.43,30_1_21,DB,24149,-1
KC344,Kaga/Cab_F2,61.9022069,64.91,1.43,0.27,30_1_21,DB,26097,-1
KC345,Kaga/Cab_F2,62.25344828,67.72,2.86,0.53,30_1_21,DB,25542,0
KC346,Kaga/Cab_F2,53.15406897,57.21,2.18,0.41,30_1_21,DB,29297,0
KC352,Kaga/Cab_F2,56.99786207,60.37,1.73,0.32,31_1_21,DB,23405,-1
KC353,Kaga/Cab_F2,57.75036782,59.01,0.58,0.11,31_1_21,DB,27441,-1
KC354,Kaga/Cab_F2,55.17071264,58.48,1.61,0.3,31_1_21,DB,27209,0
KC355,Kaga/Cab_F2,59.4502069,60.8,0.61,0.11,31_1_21,DB,27855,-1
KC356,Kaga/Cab_F2,62.89257471,59.8,2.9,0.54,31_1_21,DB,27288,0
KC357,Kaga/Cab_F2,54.18507937,59.7,3.06,0.59,31_1_21,DB,29647,0
KC358,Kaga/Cab_F2,52.46117241,60.94,5.28,0.98,31_1_21,DB,#N/A,0
KC359,Kaga/Cab_F2,57.11057471,61.13,2.35,0.44,31_1_21,DB,31275,0
KC360,Kaga/Cab_F2,62.14636782,67.63,3.18,0.59,31_1_21,DB,27196,-1
KC371,Kaga/Cab_F2,59.45082759,61.81,1.44,0.27,1_2_21,DB,24012,0
KC372,Kaga/Cab_F2,56.86664368,59.76,1.41,0.26,1_2_21,DB,30918,0
KC373,Kaga/Cab_F2,59.22613793,62.61,1.73,0.32,1_2_21,DB,31694,0
KC374,Kaga/Cab_F2,59.96848276,62.07,2.25,0.42,1_2_21,DB,23508,-1
KC375,Kaga/Cab_F2,53.72668966,57.75,2.43,0.45,1_2_21,DB,26733,0
KC376,Kaga/Cab_F2,56.80422989,59.82,1.51,0.28,1_2_21,DB,23173,0
KC377,Kaga/Cab_F2,61.79848276,60.36,1.16,0.22,1_2_21,DB,28965,-1
KC378,Kaga/Cab_F2,58.51558621,59.24,1.39,0.26,1_2_21,DB,32546,-1
KC379,Kaga/Cab_F2,53.96816092,57.79,1.99,0.37,1_2_21,DB,21511,-1
KC380,Kaga/Cab_F2,55.47531034,58.12,1.3,0.24,1_2_21,DB,24285,0
KC381,Kaga/Cab_F2,55.46434483,52.52,4.78,0.89,1_2_21,DB,28929,0
KC420,Kaga/Cab_F2,57.86312644,60.58,1.49,0.28,16_2_21,DB,25354,-1
KC421,Kaga/Cab_F2,61.5237931,62.6,0.39,0.07,16_2_21,DB,28115,-1
KC422,Kaga/Cab_F2,63.3042069,62.72,1.25,0.23,16_2_21,DB,24636,-1
KC423,Kaga/Cab_F2,56.16935065,55.95,1.74,0.38,16_2_21,DB,27920,-1
KC424,Kaga/Cab_F2,58.92149425,58.96,0.76,0.14,16_2_21,DB,25651,0
KC425,Kaga/Cab_F2,55.44855172,57.25,1.52,0.28,16_2_21,DB,28960,0
KC426,Kaga/Cab_F2,54.11409195,57.28,1.58,0.29,16_2_21,DB,29342,0
KC427,Kaga/Cab_F2,57.93303448,58.77,0.65,0.12,16_2_21,DB,24755,-1
KC428,Kaga/Cab_F2,57.93698851,59.15,0.78,0.14,16_2_21,DB,23493,-1
KC429,Kaga/Cab_F2,54.98627586,57.13,1.04,0.19,17_2_21,DB,31039,-1
KC430,Kaga/Cab_F2,56.5637931,59.13,1.21,0.22,17_2_21,DB,20435,0
KC431,Kaga/Cab_F2,58.73252874,61.71,1.46,0.27,17_2_21,DB,28255,-1
KC432,Kaga/Cab_F2,57.11972414,60.37,1.66,0.31,17_2_21,DB,27895,0
KC433,Kaga/Cab_F2,59.12314943,61.39,1.04,0.19,17_2_21,DB,26345,0
KC434,Kaga/Cab_F2,58.89590805,60.16,0.63,0.12,17_2_21,DB,27485,-1
KC435,Kaga/Cab_F2,56.64101149,60.04,1.65,0.31,17_2_21,DB,24800,-1
KC436,Kaga/Cab_F2,56.01574713,58.13,0.97,0.18,17_2_21,DB,27464,0
KC456,Kaga/Cab_F2,54.03767816,55.35,0.75,0.14,25_3_21,DB,23962,0
KC457,Kaga/Cab_F2,54.18871264,58.03,1.98,0.37,25_3_21,DB,28408,-1
KC458,Kaga/Cab_F2,57.43232184,62.54,2.69,0.5,25_3_21,DB,21157,0
KC459,Kaga/Cab_F2,62.41494253,63.61,0.69,0.13,25_3_21,DB,23064,0
KC460,Kaga/Cab_F2,56.55809195,58.99,1.81,0.34,25_3_21,DB,25197,-1
KC461,Kaga/Cab_F2,54.65381609,58.2,1.94,0.36,25_3_21,DB,26677,-1
KC462,Kaga/Cab_F2,56.43188506,58.54,1.08,0.2,25_3_21,DB,27533,-1
KC463,Kaga/Cab_F2,55.43441379,56.99,0.69,0.13,25_3_21,DB,28517,0
KC464,Kaga/Cab_F2,56.40091954,55.92,0.85,0.16,25_3_21,DB,24216,-1
KC465,Kaga/Cab_F2,59.15949425,63.38,2.18,0.41,25_3_21,DB,#N/A,0
KC466,Kaga/Cab_F2,53.55636782,56.84,1.69,0.31,30_3_21,DB,23868,0
KC467,Kaga/Cab_F2,54.07427586,56.65,1.25,0.23,30_3_21,DB,24848,0
KC468,Kaga/Cab_F2,51.87685057,55.17,2.04,0.38,30_3_21,DB,31252,0
KC469,Kaga/Cab_F2,55.76921053,59.59,1.89,0.43,30_3_21,DB,#N/A,0
KC470,Kaga/Cab_F2,54.46218391,56.87,1.09,0.2,30_3_21,DB,24358,0
KC471,Kaga/Cab_F2,57.23036782,59.55,1.18,0.22,30_3_21,DB,30409,0
KC472,Kaga/Cab_F2,59.29252874,60.65,0.78,0.15,30_3_21,DB,25620,0
KC473,Kaga/Cab_F2,57.26032184,59.63,1.1,0.2,30_3_21,DB,21704,0
KC474,Kaga/Cab_F2,56.82609195,59.89,1.48,0.28,30_3_21,DB,26438,0
KC475,Kaga/Cab_F2,56.35282759,60.03,1.85,0.34,30_3_21,DB,21951,0
KC476,Kaga/Cab_F2,59.93022989,61.27,2.16,0.4,1_4_21,DB,#N/A,-1
KC477,Kaga/Cab_F2,54.98871264,57.61,1.3,0.24,1_4_21,DB,#N/A,-1
KC478,Kaga/Cab_F2,58.81468966,62.46,1.83,0.34,1_4_21,DB,#N/A,-1
KC479,Kaga/Cab_F2,50.10554023,60.42,5.66,1.05,1_4_21,DB,18233,-1
KC480,Kaga/Cab_F2,55.19057471,56.64,0.86,0.16,5_4_21,DB,22104,0
KC481,Kaga/Cab_F2,56.3717931,58.44,0.97,0.18,5_4_21,DB,20090,0
KC482,Kaga/Cab_F2,54.65790805,57.62,1.43,0.27,5_4_21,DB,20348,0
KC484,Kaga/Cab_F2,53.27032184,58.07,2.77,0.51,5_4_21,DB,21180,-1
KC485,Kaga/Cab_F2,54.50165517,57.7,1.54,0.29,5_4_21,DB,22302,-1
KC486,Kaga/Cab_F2,55.70310345,55.53,1.08,0.2,5_4_21,DB,22300,0
KC487,Kaga/Cab_F2,60.17216092,61.67,1.55,0.29,5_4_21,DB,23156,-1
KC496,Kaga/Cab_F2,61.49618391,61.83,1.02,0.19,7_4_21,DB,25101,-1
KC497,Kaga/Cab_F2,66.75691954,65.9,0.96,0.18,7_4_21,DB,22951,-1
KC498,Kaga/Cab_F2,56.71944828,58.65,0.85,0.16,7_4_21,DB,25180,0
KC499,Kaga/Cab_F2,56.71218391,59.67,1.52,0.28,7_4_21,DB,25415,-1
KC500,Kaga/Cab_F2,60.36597701,63.37,1.61,0.3,7_4_21,DB,23347,-1
KC501,Kaga/Cab_F2,59.94767816,61.27,3.31,0.62,7_4_21,DB,19669,-1
KC502,Kaga/Cab_F2,52.59156322,57.08,2.47,0.46,7_4_21,DB,26300,-1
KC503,Kaga/Cab_F2,55.18124138,58.04,1.42,0.26,7_4_21,DB,17534,0
KC504,Kaga/Cab_F2,60.56770115,64.43,1.91,0.36,7_4_21,DB,18166,0
KC515,Kaga/Cab_F2,60.91064368,59.65,1.24,0.23,14_4_21,DB,29829,0
KC516,Kaga/Cab_F2,63.52308046,67.53,2.09,0.39,14_4_21,DB,21185,0
KC517,Kaga/Cab_F2,56.82689655,59.89,1.47,0.27,14_4_21,DB,24594,0
